conm,gvkey
1-800-FLOWERS.COM,122519
10X GENOMICS INC,35640
180 DEGREE CPTL CORP,139201
1847 HOLDINGS LLC,22362
1895 BANCORP OF WISCONSN INC,34618
1LIFE HEALTHCARE INC,36025
1ST CAP BANCORP,177646
1ST CENTURY BANCSHARES INC,264418
1ST CONSTITUTION BANCORP,65467
1ST SOURCE CORP,15199
1STDIBS.COM INC,38824
21ST CENTURY ONCOLOGY HLDGS,265008
22ND CENTURY GROUP INC,17185
23ANDME HOLDING CO,38717
2SEVENTY BIO INC,39907
2U INC,19881
374WATER INC,62819
3D SYSTEMS CORP,14898
3DICON CORP -OLD,152888
3M CO,7435
4D MOLECULAR THER INC,35729
4LICENSING CORP,6661
5BARZ INTERNATIONAL INC,183852
6D GLOBAL TECHNOLOGIES,181445
808 RENEWABLE ENERGY CORP,21189
8POINT3 ENERGY PARTNERS LP,23287
8X8 INC,65021
908 DEVICES INC,37480
A V HOMES INC,1906
A-1 GROUP INC,185392
A-MARK PRECIOUS METALS INC,19172
A.K.A. BRAND HOLD CORP,39500
A10 NETWORKS INC,19849
AAC HOLDINGS INC,178698
AADI BIOSCIENCE INC,39527
AAON INC,21542
AAR CORP,1004
AARONS CO INC (THE),37445
AB INTERNATIONAL GROUP CP,24672
ABAKAN INC,178152
ABAXIS INC,24888
ABBOTT LABORATORIES,1078
ABBVIE INC,16101
ABEONA THERAPEUTICS INC,12713
ABERCROMBIE & FITCH  -CL A,63643
ABIOMED INC,13619
ABM INDUSTRIES INC,1410
ABPRO CORP -REDH,33464
ABRAXAS PETROLEUM CORP/NV,24005
ABSCI CORP,39175
ABTECH HOLDINGS INC,186493
ABVC BIOPHARMA INC,39801
ACACIA COMMUNICATIONS INC,26722
ACACIA DIVERSIFIED HLDGS INC,61940
ACACIA RESEARCH CORP,61004
ACADEMY SPO AND OU INC,37054
ACADIA HEALTHCARE CO INC,192255
ACADIA PHARMACEUTICALS INC,141846
ACADIA REALTY TRUST,28323
ACCEL ENTERTAINMENT INC,36550
ACCELERATE DIAGNOSTICS INC,21118
ACCELERON PHARMA INC,18510
ACCELPATH INC,106422
ACCESS MIDSTREAM PARTNERS LP,184321
